t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.48750000e-01,   0.00000000e+00,   9.87500000e-02
      1000,   1.02500000e-01,   2.53750000e-01,   0.00000000e+00,   1.03750000e-01
      2000,   1.08750000e-01,   2.55000000e-01,   0.00000000e+00,   1.05000000e-01
      3000,   1.15000000e-01,   2.57500000e-01,   0.00000000e+00,   1.06250000e-01
      4000,   1.21250000e-01,   2.58750000e-01,   0.00000000e+00,   1.07500000e-01
      5000,   1.27500000e-01,   2.60000000e-01,   0.00000000e+00,   1.10000000e-01
      6000,   1.35000000e-01,   2.65000000e-01,   0.00000000e+00,   1.13750000e-01
      7000,   1.41250000e-01,   2.71250000e-01,   0.00000000e+00,   1.16250000e-01
      8000,   1.47500000e-01,   2.77500000e-01,   0.00000000e+00,   1.18750000e-01
      9000,   1.53750000e-01,   2.86250000e-01,   0.00000000e+00,   1.21250000e-01
     10000,   1.60000000e-01,   2.95000000e-01,   0.00000000e+00,   1.23750000e-01
     11000,   1.66250000e-01,   3.03750000e-01,   0.00000000e+00,   1.25000000e-01
     12000,   1.72500000e-01,   3.11250000e-01,   0.00000000e+00,   1.27500000e-01
     13000,   1.77500000e-01,   3.17500000e-01,   0.00000000e+00,   1.30000000e-01
     14000,   1.83750000e-01,   3.20000000e-01,   0.00000000e+00,   1.32500000e-01
     15000,   1.91250000e-01,   3.20000000e-01,   0.00000000e+00,   1.36250000e-01
     16000,   1.98750000e-01,   3.17500000e-01,   0.00000000e+00,   1.40000000e-01
     17000,   2.07500000e-01,   3.16250000e-01,   0.00000000e+00,   1.41250000e-01
     18000,   2.17500000e-01,   3.13750000e-01,   0.00000000e+00,   1.42500000e-01
     19000,   2.26250000e-01,   3.17500000e-01,   0.00000000e+00,   1.43750000e-01
     20000,   2.30000000e-01,   3.21250000e-01,   0.00000000e+00,   1.45000000e-01
     21000,   2.27500000e-01,   3.26250000e-01,   0.00000000e+00,   1.47500000e-01
     22000,   2.26250000e-01,   3.30000000e-01,   0.00000000e+00,   1.50000000e-01
     23000,   2.27500000e-01,   3.32500000e-01,   0.00000000e+00,   1.51250000e-01
     24000,   2.27500000e-01,   3.33750000e-01,   0.00000000e+00,   1.53750000e-01
     25000,   2.23750000e-01,   3.35000000e-01,   0.00000000e+00,   1.57500000e-01
     26000,   2.20000000e-01,   3.35000000e-01,   0.00000000e+00,   1.60000000e-01
     27000,   2.16250000e-01,   3.35000000e-01,   0.00000000e+00,   1.62500000e-01
     28000,   2.12500000e-01,   3.33750000e-01,   0.00000000e+00,   1.63750000e-01
     29000,   2.11250000e-01,   3.35000000e-01,   0.00000000e+00,   1.65000000e-01
     30000,   2.10000000e-01,   3.35000000e-01,   0.00000000e+00,   1.67500000e-01
     31000,   2.08750000e-01,   3.37500000e-01,   0.00000000e+00,   1.68750000e-01
     32000,   2.07500000e-01,   3.38750000e-01,   0.00000000e+00,   1.70000000e-01
     33000,   2.07500000e-01,   3.41250000e-01,   0.00000000e+00,   1.70000000e-01
     34000,   2.06250000e-01,   3.42500000e-01,   0.00000000e+00,   1.71250000e-01
     35000,   2.03750000e-01,   3.43750000e-01,   0.00000000e+00,   1.71250000e-01
     36000,   2.02500000e-01,   3.43750000e-01,   0.00000000e+00,   1.72500000e-01
     37000,   2.00000000e-01,   3.43750000e-01,   0.00000000e+00,   1.73750000e-01
     38000,   1.98750000e-01,   3.43750000e-01,   0.00000000e+00,   1.75000000e-01
     39000,   1.97500000e-01,   3.45000000e-01,   0.00000000e+00,   1.76250000e-01
     40000,   1.96250000e-01,   3.46250000e-01,   0.00000000e+00,   1.77500000e-01
     41000,   1.95000000e-01,   3.47500000e-01,   0.00000000e+00,   1.78750000e-01
